id_evento,fecha_hora,tipo_evento,id_usuario,id_producto,categoria_producto,monto_transaccion,ubicacion,estado_operativo,canal_origen
EVT-0000041,2025-08-07 20:18:36,SOPORTE_TICKET,USR-3596,,,0.0,Valparaiso,Consulta,Portal Web B2C
EVT-0000042,2025-11-24 09:59:46,TRANSACCION_VENTA,USR-27759,PRD-621,Electronica,1431.17,La Serena,N/A,Sucursal Fisica
EVT-0000043,2025-10-18 11:05:39,LOGISTICA_ENVIO,USR-6509,PRD-909,Hogar,0.0,Valparaiso,Entregado,Mobile App
EVT-0000044,2025-08-17 21:10:22,SOPORTE_TICKET,USR-18414,,,0.0,Concepcion,Reclamo_Garantia,Mobile App
EVT-0000045,2025-05-16 18:21:28,LOGISTICA_ENVIO,USR-46019,PRD-880,Hogar,0.0,Valparaiso,En_Bodega,Portal Web B2C
EVT-0000046,2025-04-29 17:54:55,SOPORTE_TICKET,USR-93578,,,0.0,Antofagasta,Devolucion,Sucursal Fisica
EVT-0000047,2025-03-31 12:38:31,TRANSACCION_VENTA,USR-63777,PRD-248,Moda,915.77,Santiago,N/A,Portal Web B2C
EVT-0000048,2025-05-07 18:31:03,TRANSACCION_VENTA,USR-70896,PRD-182,Moda,334.35,La Serena,N/A,Mobile App
EVT-0000049,2025-01-17 13:38:04,TRANSACCION_VENTA,USR-43446,PRD-305,Electronica,726.06,Santiago,N/A,Mobile App
EVT-0000050,2025-04-26 20:58:48,REGISTRO_CLIENTE,USR-22602,,,0.0,La Serena,N/A,Portal Web B2C
EVT-0000051,2025-03-04 22:22:53,TRANSACCION_VENTA,USR-4842,PRD-261,Electronica,635.24,Antofagasta,N/A,Sucursal Fisica
EVT-0000052,2025-12-23 01:27:16,LOGISTICA_ENVIO,USR-22124,PRD-662,Deportes,0.0,La Serena,En_Bodega,Mobile App
EVT-0000053,2026-01-14 03:17:23,SOPORTE_TICKET,USR-50380,,,0.0,Antofagasta,Consulta,Portal Web B2C
EVT-0000054,2025-07-11 03:15:29,SOPORTE_TICKET,USR-21216,,,0.0,Valparaiso,Reclamo_Garantia,Portal Web B2C
EVT-0000055,2026-01-05 08:44:33,LOGISTICA_ENVIO,USR-76489,PRD-433,Moda,0.0,Santiago,Entregado,Sucursal Fisica
EVT-0000056,2025-08-03 20:19:55,TRANSACCION_VENTA,USR-39884,PRD-948,Alimentacion,1376.25,La Serena,N/A,Mobile App
EVT-0000057,2025-02-10 18:39:18,TRANSACCION_VENTA,USR-92026,PRD-765,Hogar,780.14,Santiago,N/A,Sucursal Fisica
EVT-0000058,2025-11-25 12:00:20,TRANSACCION_VENTA,USR-51938,PRD-888,Deportes,1111.58,Valparaiso,N/A,Portal Web B2C
EVT-0000059,2025-11-01 05:22:55,TRANSACCION_VENTA,USR-48669,PRD-890,Electronica,1332.21,Antofagasta,N/A,Mobile App
EVT-0000060,2025-07-25 04:37:03,LOGISTICA_ENVIO,USR-62877,PRD-511,Moda,0.0,Valparaiso,Entregado,Portal Web B2C
EVT-0000061,2025-07-07 03:50:25,TRANSACCION_VENTA,USR-92507,PRD-271,Electronica,1132.28,Antofagasta,N/A,Sucursal Fisica
EVT-0000062,2025-12-23 09:13:39,LOGISTICA_ENVIO,USR-88775,PRD-823,Alimentacion,0.0,La Serena,Entregado,Portal Web B2C
EVT-0000063,2025-11-03 20:26:16,LOGISTICA_ENVIO,USR-50717,PRD-766,Alimentacion,0.0,Valparaiso,En_Bodega,Sucursal Fisica
EVT-0000064,2025-12-17 13:18:06,LOGISTICA_ENVIO,USR-39579,PRD-315,Deportes,0.0,Valparaiso,En_Ruta,Mobile App
EVT-0000065,2025-12-29 10:30:44,TRANSACCION_VENTA,USR-76930,PRD-480,Hogar,1197.37,La Serena,N/A,Mobile App
EVT-0000066,2025-01-24 10:04:33,SOPORTE_TICKET,USR-38793,,,0.0,Valparaiso,Facturacion,Portal Web B2C
EVT-0000067,2026-02-05 15:28:37,LOGISTICA_ENVIO,USR-56798,PRD-162,Deportes,0.0,Santiago,En_Ruta,Sucursal Fisica
EVT-0000068,2025-06-30 20:16:20,LOGISTICA_ENVIO,USR-32046,PRD-810,Electronica,0.0,Santiago,Entregado,Sucursal Fisica
EVT-0000069,2025-03-02 21:50:42,TRANSACCION_VENTA,USR-21403,PRD-128,Moda,167.26,La Serena,N/A,Portal Web B2C
EVT-0000070,2025-12-15 17:22:00,SOPORTE_TICKET,USR-21694,,,0.0,Concepcion,Consulta,Sucursal Fisica
EVT-0000071,2025-12-17 09:00:20,REGISTRO_CLIENTE,USR-2829,,,0.0,Antofagasta,N/A,Portal Web B2C
EVT-0000072,2025-11-10 15:09:12,REGISTRO_CLIENTE,USR-13458,,,0.0,Antofagasta,N/A,Sucursal Fisica
EVT-0000073,2025-09-19 23:38:40,LOGISTICA_ENVIO,USR-56097,PRD-162,Electronica,0.0,La Serena,Retrasado,Sucursal Fisica
EVT-0000074,2025-01-23 02:17:22,SOPORTE_TICKET,USR-79974,,,0.0,Santiago,Devolucion,Portal Web B2C
EVT-0000075,2026-02-04 01:15:58,LOGISTICA_ENVIO,USR-40356,PRD-445,Moda,0.0,Concepcion,Retrasado,Mobile App
EVT-0000076,2025-04-11 15:49:33,TRANSACCION_VENTA,USR-21331,PRD-178,Moda,854.08,Antofagasta,N/A,Portal Web B2C
EVT-0000077,2025-08-31 20:44:37,REGISTRO_CLIENTE,USR-2798,,,0.0,La Serena,N/A,Mobile App
EVT-0000078,2025-12-21 23:18:43,TRANSACCION_VENTA,USR-85666,PRD-787,Deportes,196.4,La Serena,N/A,Mobile App
EVT-0000079,2025-02-02 05:51:19,TRANSACCION_VENTA,USR-43174,PRD-842,Alimentacion,417.51,La Serena,N/A,Mobile App
EVT-0000080,2025-12-07 14:41:15,LOGISTICA_ENVIO,USR-63045,PRD-997,Moda,0.0,Santiago,Retrasado,Portal Web B2C
EVT-0000081,2025-02-10 12:56:39,REGISTRO_CLIENTE,USR-21683,,,0.0,Antofagasta,N/A,Portal Web B2C
EVT-0000082,2025-11-14 02:09:29,SOPORTE_TICKET,USR-80542,,,0.0,La Serena,Facturacion,Sucursal Fisica
EVT-0000083,2025-08-15 18:24:09,TRANSACCION_VENTA,USR-7505,PRD-351,Electronica,676.77,Antofagasta,N/A,Portal Web B2C
EVT-0000084,2025-03-23 00:33:58,LOGISTICA_ENVIO,USR-1950,PRD-831,Hogar,0.0,Santiago,En_Bodega,Sucursal Fisica
EVT-0000085,2025-09-07 01:49:40,SOPORTE_TICKET,USR-93136,,,0.0,Valparaiso,Devolucion,Portal Web B2C
EVT-0000086,2025-04-25 19:42:19,LOGISTICA_ENVIO,USR-94673,PRD-881,Hogar,0.0,Valparaiso,En_Bodega,Portal Web B2C
EVT-0000087,2025-11-15 10:12:23,TRANSACCION_VENTA,USR-86739,PRD-118,Deportes,260.16,Santiago,N/A,Sucursal Fisica
EVT-0000088,2025-04-29 04:26:44,LOGISTICA_ENVIO,USR-59649,PRD-878,Moda,0.0,Concepcion,Entregado,Portal Web B2C
EVT-0000089,2025-03-30 14:17:52,SOPORTE_TICKET,USR-74547,,,0.0,Antofagasta,Reclamo_Garantia,Sucursal Fisica
EVT-0000090,2025-05-23 23:58:10,SOPORTE_TICKET,USR-41142,,,0.0,Santiago,Consulta,Sucursal Fisica
EVT-0000091,2025-06-28 14:06:06,TRANSACCION_VENTA,USR-69887,PRD-637,Electronica,221.27,Santiago,N/A,Portal Web B2C
EVT-0000092,2025-07-19 11:12:09,LOGISTICA_ENVIO,USR-61973,PRD-827,Electronica,0.0,Concepcion,En_Ruta,Portal Web B2C
EVT-0000093,2025-02-04 18:24:55,REGISTRO_CLIENTE,USR-82899,,,0.0,Valparaiso,N/A,Portal Web B2C
EVT-0000094,2025-08-26 16:08:55,LOGISTICA_ENVIO,USR-26029,PRD-510,Deportes,0.0,La Serena,Retrasado,Sucursal Fisica
EVT-0000095,2026-01-18 19:40:34,TRANSACCION_VENTA,USR-92884,PRD-932,Deportes,895.39,Concepcion,N/A,Mobile App
EVT-0000096,2026-01-18 05:52:39,LOGISTICA_ENVIO,USR-25362,PRD-376,Deportes,0.0,Concepcion,En_Ruta,Mobile App
EVT-0000097,2025-12-31 22:43:38,SOPORTE_TICKET,USR-94557,,,0.0,Valparaiso,Devolucion,Sucursal Fisica
EVT-0000098,2025-12-05 04:39:15,LOGISTICA_ENVIO,USR-2607,PRD-656,Hogar,0.0,Antofagasta,En_Bodega,Sucursal Fisica
EVT-0000099,2026-01-15 15:42:14,TRANSACCION_VENTA,USR-84188,PRD-567,Electronica,149.56,Concepcion,N/A,Portal Web B2C
EVT-0000100,2025-10-09 11:20:49,TRANSACCION_VENTA,USR-77799,PRD-255,Alimentacion,1373.52,Santiago,N/A,Mobile App
EVT-0000101,2025-12-14 13:47:46,LOGISTICA_ENVIO,USR-5268,PRD-678,Moda,0.0,Santiago,Retrasado,Portal Web B2C
EVT-0000102,2025-03-24 02:00:53,SOPORTE_TICKET,USR-71224,,,0.0,Concepcion,Devolucion,Sucursal Fisica
EVT-0000103,2026-01-18 22:05:05,SOPORTE_TICKET,USR-42641,,,0.0,La Serena,Consulta,Sucursal Fisica
EVT-0000104,2025-02-24 14:59:46,REGISTRO_CLIENTE,USR-62756,,,0.0,La Serena,N/A,Sucursal Fisica
EVT-0000105,2025-12-17 02:24:26,LOGISTICA_ENVIO,USR-36659,PRD-998,Hogar,0.0,Concepcion,Entregado,Mobile App
EVT-0000106,2025-07-12 04:07:39,TRANSACCION_VENTA,USR-44527,PRD-204,Alimentacion,39.25,Santiago,N/A,Sucursal Fisica
EVT-0000107,2025-03-11 02:46:46,TRANSACCION_VENTA,USR-9149,PRD-534,Alimentacion,783.3,Valparaiso,N/A,Mobile App
EVT-0000108,2025-10-08 18:12:24,SOPORTE_TICKET,USR-38527,,,0.0,Antofagasta,Facturacion,Mobile App
EVT-0000109,2026-01-11 10:58:38,LOGISTICA_ENVIO,USR-78616,PRD-620,Electronica,0.0,Antofagasta,En_Bodega,Mobile App
EVT-0000110,2025-10-14 13:42:25,LOGISTICA_ENVIO,USR-88136,PRD-117,Hogar,0.0,Concepcion,En_Bodega,Sucursal Fisica
EVT-0000111,2025-06-28 22:06:23,REGISTRO_CLIENTE,USR-28068,,,0.0,Antofagasta,N/A,Mobile App
EVT-0000112,2025-12-06 18:55:02,SOPORTE_TICKET,USR-28051,,,0.0,Concepcion,Reclamo_Garantia,Sucursal Fisica
EVT-0000113,2025-11-23 22:14:37,REGISTRO_CLIENTE,USR-84176,,,0.0,Antofagasta,N/A,Portal Web B2C
EVT-0000114,2025-09-19 12:02:03,LOGISTICA_ENVIO,USR-33726,PRD-926,Deportes,0.0,Santiago,En_Bodega,Mobile App
EVT-0000115,2025-02-13 19:24:19,SOPORTE_TICKET,USR-8402,,,0.0,Santiago,Consulta,Portal Web B2C
EVT-0000116,2025-09-27 16:41:57,TRANSACCION_VENTA,USR-43913,PRD-652,Moda,1257.84,La Serena,N/A,Sucursal Fisica
EVT-0000117,2025-09-11 05:46:32,TRANSACCION_VENTA,USR-97724,PRD-403,Moda,283.44,La Serena,N/A,Portal Web B2C
EVT-0000118,2025-06-27 00:22:11,TRANSACCION_VENTA,USR-98411,PRD-312,Deportes,420.49,La Serena,N/A,Mobile App
EVT-0000119,2025-02-17 10:54:34,SOPORTE_TICKET,USR-68365,,,0.0,Valparaiso,Facturacion,Mobile App
EVT-0000120,2025-05-19 14:28:51,REGISTRO_CLIENTE,USR-1217,,,0.0,Concepcion,N/A,Portal Web B2C
EVT-0000121,2025-12-04 09:52:30,SOPORTE_TICKET,USR-43933,,,0.0,Santiago,Facturacion,Mobile App
EVT-0000122,2026-01-16 00:52:06,TRANSACCION_VENTA,USR-73333,PRD-998,Deportes,1220.8,Concepcion,N/A,Portal Web B2C
EVT-0000123,2026-01-30 05:01:13,TRANSACCION_VENTA,USR-13129,PRD-979,Moda,1229.45,Santiago,N/A,Portal Web B2C
EVT-0000124,2025-11-01 09:40:15,TRANSACCION_VENTA,USR-94642,PRD-390,Electronica,954.0,Antofagasta,N/A,Portal Web B2C
EVT-0000125,2025-01-23 19:32:31,TRANSACCION_VENTA,USR-86604,PRD-167,Moda,536.56,La Serena,N/A,Sucursal Fisica
EVT-0000126,2025-10-24 12:39:59,TRANSACCION_VENTA,USR-10730,PRD-663,Alimentacion,1226.55,Antofagasta,N/A,Mobile App
EVT-0000127,2025-04-20 13:49:23,LOGISTICA_ENVIO,USR-28984,PRD-768,Deportes,0.0,La Serena,En_Bodega,Portal Web B2C
EVT-0000128,2025-12-27 08:07:37,LOGISTICA_ENVIO,USR-96643,PRD-960,Deportes,0.0,Santiago,Retrasado,Portal Web B2C
EVT-0000129,2025-09-19 20:33:14,SOPORTE_TICKET,USR-42843,,,0.0,Valparaiso,Consulta,Portal Web B2C
EVT-0000130,2025-11-24 00:42:52,TRANSACCION_VENTA,USR-27974,PRD-846,Deportes,23.74,Santiago,N/A,Mobile App
EVT-0000131,2025-06-02 22:25:49,LOGISTICA_ENVIO,USR-48284,PRD-936,Electronica,0.0,Concepcion,En_Ruta,Sucursal Fisica
EVT-0000132,2026-01-18 12:08:39,TRANSACCION_VENTA,USR-41264,PRD-522,Hogar,679.38,Santiago,N/A,Portal Web B2C
EVT-0000133,2025-08-15 02:31:26,LOGISTICA_ENVIO,USR-70182,PRD-196,Deportes,0.0,Valparaiso,En_Bodega,Mobile App
EVT-0000134,2025-08-12 16:55:33,TRANSACCION_VENTA,USR-42570,PRD-863,Hogar,699.18,Valparaiso,N/A,Portal Web B2C
EVT-0000135,2025-07-03 00:09:54,TRANSACCION_VENTA,USR-47628,PRD-137,Deportes,799.12,La Serena,N/A,Sucursal Fisica
EVT-0000136,2025-05-28 03:50:20,LOGISTICA_ENVIO,USR-90082,PRD-791,Alimentacion,0.0,Santiago,Retrasado,Mobile App
EVT-0000137,2025-11-18 22:27:07,SOPORTE_TICKET,USR-15151,,,0.0,Concepcion,Facturacion,Mobile App
EVT-0000138,2025-11-17 07:08:55,REGISTRO_CLIENTE,USR-44280,,,0.0,Antofagasta,N/A,Sucursal Fisica
EVT-0000139,2025-09-17 01:49:14,SOPORTE_TICKET,USR-20276,,,0.0,Concepcion,Devolucion,Portal Web B2C
EVT-0000140,2026-01-07 10:27:43,SOPORTE_TICKET,USR-6365,,,0.0,Valparaiso,Reclamo_Garantia,Portal Web B2C
EVT-0000141,2025-02-03 06:21:40,REGISTRO_CLIENTE,USR-14629,,,0.0,La Serena,N/A,Sucursal Fisica
EVT-0000142,2025-04-27 17:34:57,TRANSACCION_VENTA,USR-94307,PRD-146,Electronica,35.38,Concepcion,N/A,Sucursal Fisica
EVT-0000143,2025-06-18 06:36:01,TRANSACCION_VENTA,USR-84890,PRD-635,Moda,1237.45,Valparaiso,N/A,Portal Web B2C
EVT-0000144,2026-01-05 13:40:19,TRANSACCION_VENTA,USR-11237,PRD-789,Alimentacion,1189.96,La Serena,N/A,Mobile App
EVT-0000145,2025-12-20 21:19:35,LOGISTICA_ENVIO,USR-7819,PRD-913,Deportes,0.0,La Serena,Entregado,Mobile App
EVT-0000146,2025-06-04 16:01:20,TRANSACCION_VENTA,USR-23201,PRD-697,Moda,483.11,Valparaiso,N/A,Mobile App
EVT-0000147,2025-08-01 05:22:48,REGISTRO_CLIENTE,USR-24958,,,0.0,Valparaiso,N/A,Sucursal Fisica
EVT-0000148,2025-06-22 19:43:07,LOGISTICA_ENVIO,USR-73467,PRD-335,Hogar,0.0,Antofagasta,En_Bodega,Sucursal Fisica
EVT-0000149,2026-01-31 22:26:23,LOGISTICA_ENVIO,USR-83530,PRD-943,Hogar,0.0,Valparaiso,En_Ruta,Mobile App
EVT-0000150,2025-07-07 21:06:42,TRANSACCION_VENTA,USR-30777,PRD-350,Hogar,259.11,La Serena,N/A,Mobile App
EVT-0000151,2025-05-22 14:04:32,SOPORTE_TICKET,USR-83092,,,0.0,Concepcion,Consulta,Mobile App
EVT-0000152,2025-10-24 22:23:06,TRANSACCION_VENTA,USR-17778,PRD-649,Electronica,670.1,Concepcion,N/A,Sucursal Fisica
EVT-0000153,2025-07-29 14:20:38,LOGISTICA_ENVIO,USR-46699,PRD-166,Deportes,0.0,Concepcion,En_Ruta,Portal Web B2C
EVT-0000154,2026-01-24 09:51:30,TRANSACCION_VENTA,USR-37711,PRD-304,Deportes,1462.14,La Serena,N/A,Sucursal Fisica
EVT-0000155,2025-09-26 06:24:46,LOGISTICA_ENVIO,USR-31633,PRD-191,Moda,0.0,Concepcion,En_Ruta,Mobile App
EVT-0000156,2026-01-19 21:00:52,TRANSACCION_VENTA,USR-56387,PRD-421,Moda,259.86,Concepcion,N/A,Portal Web B2C
EVT-0000157,2026-01-20 09:47:48,TRANSACCION_VENTA,USR-4279,PRD-815,Hogar,704.77,La Serena,N/A,Mobile App
EVT-0000158,2025-11-13 22:14:42,TRANSACCION_VENTA,USR-28021,PRD-884,Moda,234.96,Valparaiso,N/A,Portal Web B2C
EVT-0000159,2025-12-25 17:18:21,TRANSACCION_VENTA,USR-55113,PRD-446,Electronica,1138.39,Santiago,N/A,Sucursal Fisica
EVT-0000160,2025-08-01 18:16:20,SOPORTE_TICKET,USR-38922,,,0.0,Valparaiso,Consulta,Sucursal Fisica
EVT-0000161,2025-02-12 12:56:42,REGISTRO_CLIENTE,USR-86299,,,0.0,Santiago,N/A,Mobile App
EVT-0000162,2025-03-22 17:13:49,SOPORTE_TICKET,USR-91939,,,0.0,Concepcion,Reclamo_Garantia,Sucursal Fisica
EVT-0000163,2025-05-17 14:18:10,REGISTRO_CLIENTE,USR-88253,,,0.0,La Serena,N/A,Mobile App
EVT-0000164,2025-03-20 04:47:58,TRANSACCION_VENTA,USR-45035,PRD-895,Deportes,46.55,La Serena,N/A,Sucursal Fisica
EVT-0000165,2025-12-30 14:07:19,SOPORTE_TICKET,USR-35992,,,0.0,Antofagasta,Reclamo_Garantia,Portal Web B2C
EVT-0000166,2025-12-23 04:32:51,TRANSACCION_VENTA,USR-26991,PRD-153,Deportes,362.53,Valparaiso,N/A,Mobile App
EVT-0000167,2025-05-15 13:43:08,TRANSACCION_VENTA,USR-99508,PRD-327,Alimentacion,937.9,La Serena,N/A,Mobile App
EVT-0000168,2025-07-26 10:25:28,TRANSACCION_VENTA,USR-56110,PRD-240,Hogar,623.03,Valparaiso,N/A,Portal Web B2C
EVT-0000169,2025-05-01 14:05:28,TRANSACCION_VENTA,USR-55090,PRD-263,Electronica,645.54,Antofagasta,N/A,Portal Web B2C
EVT-0000170,2025-10-12 08:12:37,LOGISTICA_ENVIO,USR-55970,PRD-983,Hogar,0.0,Concepcion,Entregado,Mobile App
EVT-0000171,2025-04-10 22:26:35,LOGISTICA_ENVIO,USR-76944,PRD-395,Moda,0.0,Antofagasta,Retrasado,Portal Web B2C
EVT-0000172,2025-06-29 10:12:17,SOPORTE_TICKET,USR-89113,,,0.0,Valparaiso,Devolucion,Mobile App
EVT-0000173,2025-11-10 01:55:35,SOPORTE_TICKET,USR-39636,,,0.0,Valparaiso,Reclamo_Garantia,Portal Web B2C
EVT-0000174,2025-02-18 18:45:43,SOPORTE_TICKET,USR-35341,,,0.0,Antofagasta,Consulta,Portal Web B2C
EVT-0000175,2025-06-05 07:16:40,TRANSACCION_VENTA,USR-55500,PRD-474,Electronica,288.87,Santiago,N/A,Mobile App
EVT-0000176,2025-12-04 00:42:04,SOPORTE_TICKET,USR-70980,,,0.0,Concepcion,Facturacion,Portal Web B2C
EVT-0000177,2025-11-08 00:01:09,TRANSACCION_VENTA,USR-8920,PRD-955,Deportes,965.45,Valparaiso,N/A,Sucursal Fisica
EVT-0000178,2025-08-02 08:38:00,LOGISTICA_ENVIO,USR-68908,PRD-821,Alimentacion,0.0,Valparaiso,En_Bodega,Portal Web B2C
EVT-0000179,2025-08-26 21:23:38,TRANSACCION_VENTA,USR-27097,PRD-365,Moda,697.18,Antofagasta,N/A,Mobile App
EVT-0000180,2025-11-16 15:19:53,LOGISTICA_ENVIO,USR-9423,PRD-356,Hogar,0.0,Santiago,Entregado,Sucursal Fisica
EVT-0000181,2025-06-11 12:34:17,REGISTRO_CLIENTE,USR-83022,,,0.0,Valparaiso,N/A,Sucursal Fisica
EVT-0000182,2025-09-25 15:36:39,LOGISTICA_ENVIO,USR-99160,PRD-556,Moda,0.0,Concepcion,En_Bodega,Mobile App
EVT-0000183,2025-06-15 11:12:23,LOGISTICA_ENVIO,USR-47094,PRD-999,Alimentacion,0.0,Valparaiso,En_Ruta,Portal Web B2C
EVT-0000184,2026-01-18 14:07:31,REGISTRO_CLIENTE,USR-18123,,,0.0,Santiago,N/A,Mobile App
EVT-0000185,2025-10-22 09:52:45,TRANSACCION_VENTA,USR-39151,PRD-248,Electronica,310.35,Santiago,N/A,Sucursal Fisica
EVT-0000186,2025-01-16 21:51:29,LOGISTICA_ENVIO,USR-72222,PRD-948,Hogar,0.0,Santiago,En_Bodega,Mobile App
EVT-0000187,2025-02-18 17:39:38,LOGISTICA_ENVIO,USR-54712,PRD-793,Deportes,0.0,Santiago,En_Bodega,Sucursal Fisica
EVT-0000188,2025-10-02 15:27:01,REGISTRO_CLIENTE,USR-32926,,,0.0,Santiago,N/A,Portal Web B2C
EVT-0000189,2025-10-24 10:02:34,TRANSACCION_VENTA,USR-38757,PRD-412,Deportes,386.44,Valparaiso,N/A,Portal Web B2C
EVT-0000190,2025-10-08 09:32:10,TRANSACCION_VENTA,USR-35158,PRD-431,Deportes,1413.35,Santiago,N/A,Mobile App
EVT-0000191,2025-12-14 01:06:03,TRANSACCION_VENTA,USR-62798,PRD-860,Hogar,1351.66,Santiago,N/A,Sucursal Fisica
EVT-0000192,2025-03-29 13:56:10,REGISTRO_CLIENTE,USR-34864,,,0.0,Valparaiso,N/A,Mobile App
