id_evento,fecha_hora,tipo_evento,id_usuario,id_producto,categoria_producto,monto_transaccion,ubicacion,estado_operativo,canal_origen,dias_entrega,tramo_regional,costo_soporte
EVT-0000036,2025-12-09 16:24:32,TRANSACCION_VENTA,USR-94642,PRD-132,Hogar,1225.01,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000037,2025-01-09 19:00:23,TRANSACCION_VENTA,USR-91679,PRD-524,Hogar,186.34,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000038,2025-10-12 02:24:33,TRANSACCION_VENTA,USR-42121,PRD-319,Deportes,283.16,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000039,2025-01-27 03:06:40,TRANSACCION_VENTA,USR-2274,PRD-847,Hogar,103.47,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000040,2025-10-11 01:42:57,TRANSACCION_VENTA,USR-70502,PRD-216,Moda,365.93,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000041,2026-01-17 16:19:21,TRANSACCION_VENTA,USR-93416,PRD-258,Deportes,510.68,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000042,2025-07-26 11:31:26,TRANSACCION_VENTA,USR-18209,PRD-582,Alimentacion,1182.67,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000043,2025-09-14 01:20:56,TRANSACCION_VENTA,USR-48325,PRD-910,Hogar,388.53,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000044,2025-09-20 09:47:53,TRANSACCION_VENTA,USR-72088,PRD-178,Hogar,846.16,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000045,2025-04-06 10:29:28,TRANSACCION_VENTA,USR-66223,PRD-568,Electronica,995.91,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000046,2025-07-30 20:04:48,TRANSACCION_VENTA,USR-3543,PRD-315,Alimentacion,216.71,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000047,2025-05-07 01:27:29,TRANSACCION_VENTA,USR-90537,PRD-887,Hogar,135.68,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000048,2025-03-25 11:46:32,TRANSACCION_VENTA,USR-68118,PRD-161,Moda,629.43,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000049,2025-05-27 21:46:48,TRANSACCION_VENTA,USR-30191,PRD-455,Moda,236.8,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000050,2025-09-19 02:51:17,TRANSACCION_VENTA,USR-20644,PRD-431,Electronica,1218.6,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000051,2026-01-11 22:40:26,TRANSACCION_VENTA,USR-90386,PRD-633,Moda,958.16,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000052,2025-08-13 14:48:57,TRANSACCION_VENTA,USR-83241,PRD-450,Alimentacion,376.01,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000053,2025-09-18 16:22:30,TRANSACCION_VENTA,USR-92725,PRD-882,Hogar,707.29,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000054,2025-05-20 17:21:22,TRANSACCION_VENTA,USR-63525,PRD-933,Deportes,234.36,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000055,2025-11-29 06:02:00,TRANSACCION_VENTA,USR-27065,PRD-801,Moda,427.97,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000056,2025-09-16 18:36:33,TRANSACCION_VENTA,USR-6180,PRD-309,Alimentacion,378.72,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000057,2025-03-04 10:40:58,TRANSACCION_VENTA,USR-73176,PRD-150,Moda,410.53,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000058,2025-10-23 22:15:41,TRANSACCION_VENTA,USR-28893,PRD-325,Hogar,84.5,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000059,2026-01-28 00:28:32,TRANSACCION_VENTA,USR-20557,PRD-430,Moda,521.99,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000060,2025-08-04 23:52:10,TRANSACCION_VENTA,USR-81519,PRD-735,Electronica,546.17,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000061,2025-02-13 19:49:13,TRANSACCION_VENTA,USR-10849,PRD-475,Moda,908.25,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000062,2025-12-05 20:25:48,TRANSACCION_VENTA,USR-7988,PRD-813,Hogar,380.51,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000063,2025-12-01 03:25:17,TRANSACCION_VENTA,USR-62111,PRD-999,Moda,91.71,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000064,2025-01-10 17:54:28,TRANSACCION_VENTA,USR-87099,PRD-885,Hogar,1384.31,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000065,2025-06-16 06:38:18,TRANSACCION_VENTA,USR-94225,PRD-101,Hogar,307.51,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000066,2025-03-15 23:27:57,TRANSACCION_VENTA,USR-72725,PRD-400,Moda,447.54,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000067,2025-05-21 18:59:06,TRANSACCION_VENTA,USR-72243,PRD-170,Alimentacion,1358.87,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000068,2025-12-21 04:15:09,TRANSACCION_VENTA,USR-58577,PRD-162,Deportes,1101.02,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000069,2025-12-11 13:55:36,TRANSACCION_VENTA,USR-45176,PRD-639,Moda,875.24,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000070,2025-03-12 08:28:21,TRANSACCION_VENTA,USR-28108,PRD-597,Deportes,716.93,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000071,2025-02-21 23:39:48,TRANSACCION_VENTA,USR-9661,PRD-615,Alimentacion,761.49,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000072,2025-07-23 20:36:50,TRANSACCION_VENTA,USR-81876,PRD-540,Alimentacion,344.77,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000073,2025-07-12 06:53:21,TRANSACCION_VENTA,USR-13467,PRD-360,Alimentacion,892.72,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000074,2025-08-19 05:58:11,TRANSACCION_VENTA,USR-91376,PRD-967,Hogar,1100.81,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000075,2025-08-06 04:31:17,TRANSACCION_VENTA,USR-40576,PRD-382,Hogar,241.24,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000076,2025-10-15 05:26:21,TRANSACCION_VENTA,USR-67539,PRD-395,Hogar,701.09,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000077,2025-03-21 17:33:04,TRANSACCION_VENTA,USR-30328,PRD-120,Electronica,274.94,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000078,2025-09-23 09:38:15,TRANSACCION_VENTA,USR-44288,PRD-436,Electronica,1497.88,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000079,2025-03-14 14:52:55,TRANSACCION_VENTA,USR-29806,PRD-591,Moda,1022.35,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000080,2025-01-01 20:13:51,TRANSACCION_VENTA,USR-68466,PRD-142,Moda,259.39,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000081,2025-06-26 02:41:09,TRANSACCION_VENTA,USR-41279,PRD-698,Deportes,798.99,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000082,2025-10-01 10:13:15,TRANSACCION_VENTA,USR-90893,PRD-457,Moda,1164.99,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000083,2025-07-19 05:36:42,TRANSACCION_VENTA,USR-8717,PRD-999,Deportes,1195.97,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000084,2025-11-01 03:31:39,TRANSACCION_VENTA,USR-57079,PRD-340,Moda,1337.96,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000085,2025-02-27 04:06:46,TRANSACCION_VENTA,USR-22432,PRD-435,Hogar,238.46,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000086,2025-05-01 06:51:26,TRANSACCION_VENTA,USR-36285,PRD-850,Electronica,699.87,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000087,2025-05-14 14:43:48,TRANSACCION_VENTA,USR-8355,PRD-212,Hogar,969.07,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000088,2026-01-26 04:11:14,TRANSACCION_VENTA,USR-46116,PRD-302,Electronica,1327.53,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000089,2026-01-22 09:27:54,TRANSACCION_VENTA,USR-5386,PRD-355,Hogar,1000.81,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000090,2025-06-19 20:46:25,TRANSACCION_VENTA,USR-46707,PRD-398,Moda,884.67,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000091,2025-12-09 23:46:22,TRANSACCION_VENTA,USR-57688,PRD-767,Moda,1041.47,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000092,2025-12-06 11:26:15,TRANSACCION_VENTA,USR-1844,PRD-553,Deportes,770.59,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000093,2025-02-07 19:09:44,TRANSACCION_VENTA,USR-92064,PRD-964,Alimentacion,1189.93,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000094,2025-08-05 05:04:42,TRANSACCION_VENTA,USR-41483,PRD-646,Electronica,576.45,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000095,2025-07-30 05:10:11,TRANSACCION_VENTA,USR-97541,PRD-964,Deportes,210.78,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000096,2025-02-07 09:51:11,TRANSACCION_VENTA,USR-89792,PRD-317,Deportes,898.2,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000097,2025-03-23 10:36:49,TRANSACCION_VENTA,USR-42646,PRD-793,Electronica,399.59,Antofagasta,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000098,2025-01-26 22:21:24,TRANSACCION_VENTA,USR-54621,PRD-714,Alimentacion,400.32,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000099,2025-12-15 14:24:10,TRANSACCION_VENTA,USR-98236,PRD-518,Hogar,169.4,Antofagasta,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000100,2025-05-01 04:30:30,TRANSACCION_VENTA,USR-34885,PRD-852,Deportes,366.05,Antofagasta,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000101,2025-06-30 07:00:44,TRANSACCION_VENTA,USR-19423,PRD-112,Electronica,1143.2,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000102,2025-11-24 01:14:15,TRANSACCION_VENTA,USR-67663,PRD-944,Alimentacion,1006.08,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000103,2025-12-04 13:49:23,TRANSACCION_VENTA,USR-66149,PRD-431,Hogar,894.0,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000104,2025-01-23 03:18:53,TRANSACCION_VENTA,USR-19045,PRD-846,Deportes,12.82,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000105,2025-05-25 08:11:39,TRANSACCION_VENTA,USR-80574,PRD-673,Hogar,1146.81,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000106,2025-11-02 22:30:52,TRANSACCION_VENTA,USR-81940,PRD-992,Moda,1003.52,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000107,2025-01-28 04:09:42,TRANSACCION_VENTA,USR-66172,PRD-409,Deportes,1023.8,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000108,2026-01-03 13:21:44,TRANSACCION_VENTA,USR-99348,PRD-920,Moda,294.29,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000109,2025-08-13 16:02:58,TRANSACCION_VENTA,USR-84209,PRD-542,Hogar,436.56,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000110,2025-12-07 01:53:50,TRANSACCION_VENTA,USR-43329,PRD-848,Alimentacion,784.48,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000111,2025-11-29 08:21:12,TRANSACCION_VENTA,USR-90853,PRD-239,Deportes,917.31,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000112,2025-08-25 06:58:54,TRANSACCION_VENTA,USR-28898,PRD-655,Deportes,1292.42,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000113,2025-10-25 20:40:23,TRANSACCION_VENTA,USR-26097,PRD-783,Electronica,705.63,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000114,2025-12-19 10:32:21,TRANSACCION_VENTA,USR-80853,PRD-799,Alimentacion,756.36,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000115,2025-07-29 22:31:46,TRANSACCION_VENTA,USR-8749,PRD-536,Electronica,831.88,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000116,2025-02-17 14:11:16,TRANSACCION_VENTA,USR-22876,PRD-758,Hogar,819.44,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000117,2025-05-25 09:08:20,TRANSACCION_VENTA,USR-49651,PRD-855,Deportes,907.01,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000118,2025-12-18 17:22:00,TRANSACCION_VENTA,USR-13787,PRD-541,Moda,951.4,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000119,2025-06-25 01:07:38,TRANSACCION_VENTA,USR-69184,PRD-279,Moda,616.94,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000120,2025-03-06 01:30:20,TRANSACCION_VENTA,USR-20559,PRD-376,Electronica,530.13,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000121,2025-02-02 13:26:56,TRANSACCION_VENTA,USR-86727,PRD-123,Hogar,1026.67,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000122,2025-12-22 17:16:32,TRANSACCION_VENTA,USR-28098,PRD-408,Electronica,100.0,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000123,2025-06-21 18:56:55,TRANSACCION_VENTA,USR-79975,PRD-302,Alimentacion,127.09,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000124,2025-04-02 21:18:53,TRANSACCION_VENTA,USR-82379,PRD-245,Hogar,508.08,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000125,2025-01-02 00:27:20,TRANSACCION_VENTA,USR-18245,PRD-724,Moda,1018.13,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000126,2025-09-06 01:05:06,TRANSACCION_VENTA,USR-83997,PRD-360,Electronica,524.28,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000127,2025-07-06 03:18:58,TRANSACCION_VENTA,USR-90278,PRD-750,Alimentacion,736.72,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000128,2025-01-12 17:01:07,TRANSACCION_VENTA,USR-26006,PRD-963,Deportes,900.66,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000129,2025-04-14 10:45:40,TRANSACCION_VENTA,USR-63811,PRD-325,Moda,164.85,Antofagasta,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000130,2025-12-17 22:33:25,TRANSACCION_VENTA,USR-43662,PRD-996,Deportes,1156.37,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000131,2025-07-08 19:52:14,TRANSACCION_VENTA,USR-95972,PRD-289,Moda,1139.31,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000132,2025-07-15 12:07:11,TRANSACCION_VENTA,USR-80449,PRD-843,Electronica,598.52,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000133,2025-08-04 10:06:22,TRANSACCION_VENTA,USR-33041,PRD-198,Electronica,1311.46,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000134,2025-05-07 13:45:31,TRANSACCION_VENTA,USR-93151,PRD-805,Hogar,376.76,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000135,2025-09-09 12:49:19,TRANSACCION_VENTA,USR-22794,PRD-943,Moda,1279.07,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000136,2025-01-21 03:50:52,TRANSACCION_VENTA,USR-33753,PRD-791,Moda,1126.87,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000137,2025-07-31 05:27:42,TRANSACCION_VENTA,USR-71060,PRD-554,Alimentacion,1464.47,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000138,2025-01-16 00:12:38,TRANSACCION_VENTA,USR-10413,PRD-593,Hogar,329.9,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000139,2025-09-24 06:06:40,TRANSACCION_VENTA,USR-18425,PRD-265,Alimentacion,538.38,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000140,2025-12-07 20:39:59,TRANSACCION_VENTA,USR-9381,PRD-114,Deportes,1396.5,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000141,2025-08-16 16:12:51,TRANSACCION_VENTA,USR-75433,PRD-918,Hogar,956.66,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000142,2025-12-12 19:00:19,TRANSACCION_VENTA,USR-41704,PRD-711,Alimentacion,677.97,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000143,2025-03-14 11:14:28,TRANSACCION_VENTA,USR-88654,PRD-458,Hogar,1291.09,Antofagasta,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000144,2025-05-14 08:16:27,TRANSACCION_VENTA,USR-92256,PRD-961,Deportes,108.17,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000145,2025-12-25 03:36:08,TRANSACCION_VENTA,USR-27179,PRD-193,Hogar,265.53,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000146,2025-02-26 16:41:09,TRANSACCION_VENTA,USR-54455,PRD-278,Alimentacion,1039.35,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000147,2025-06-11 21:24:22,TRANSACCION_VENTA,USR-66608,PRD-615,Electronica,67.27,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000148,2025-07-17 06:33:14,TRANSACCION_VENTA,USR-6538,PRD-644,Electronica,14.93,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000149,2026-01-02 10:33:13,TRANSACCION_VENTA,USR-23575,PRD-131,Hogar,515.63,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000150,2025-04-21 10:53:25,TRANSACCION_VENTA,USR-5721,PRD-502,Electronica,590.87,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000151,2025-03-18 00:53:00,TRANSACCION_VENTA,USR-38286,PRD-902,Moda,117.1,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000152,2025-08-15 19:12:37,TRANSACCION_VENTA,USR-37432,PRD-761,Alimentacion,1045.85,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000153,2025-07-09 05:16:37,TRANSACCION_VENTA,USR-99861,PRD-912,Moda,1200.67,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000154,2025-05-06 18:05:14,TRANSACCION_VENTA,USR-25152,PRD-774,Moda,1440.22,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000155,2025-03-18 04:19:33,TRANSACCION_VENTA,USR-79749,PRD-964,Hogar,220.8,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000156,2025-10-29 20:07:20,TRANSACCION_VENTA,USR-45453,PRD-435,Electronica,190.3,La Serena,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000157,2025-10-01 03:01:58,TRANSACCION_VENTA,USR-91235,PRD-334,Moda,1057.12,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000158,2025-07-18 20:17:49,TRANSACCION_VENTA,USR-43658,PRD-561,Electronica,1318.67,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000159,2025-02-15 09:16:47,TRANSACCION_VENTA,USR-30586,PRD-447,Deportes,1228.04,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000160,2025-08-16 19:00:04,TRANSACCION_VENTA,USR-91291,PRD-762,Moda,129.8,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000161,2025-10-23 04:38:37,TRANSACCION_VENTA,USR-85658,PRD-791,Deportes,486.57,Antofagasta,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000162,2025-01-04 10:01:23,TRANSACCION_VENTA,USR-77528,PRD-157,Alimentacion,1357.64,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000163,2025-06-26 15:36:18,TRANSACCION_VENTA,USR-86451,PRD-372,Hogar,516.44,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000164,2026-01-06 11:46:46,TRANSACCION_VENTA,USR-11273,PRD-703,Moda,979.78,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000165,2025-11-02 23:43:57,TRANSACCION_VENTA,USR-70749,PRD-880,Alimentacion,121.44,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
